NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY_FLAG,MEGA_EVOLUTION_FLAG,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,CAPTURE_RATE,BASE_EGG_HATCH_CYCLE,BASE_EGG_HATCH_STEPS,EGG_GROUP1,EGG_GROUP2,BASE_EXP,EFFORT_HP,EFFORT_ATK,EFFORT_DEF,EFFORT_SP_ATK,EFFORT_SP_DEF,EFFORT_SPD,EFFORT_TOTAL
10,1,101,Caterpie,Bug,,Green,Shield Dust,,Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195,255,15,3840,Bug,,39,1,0,0,0,0,0,1
11,1,111,Metapod,Bug,,Green,Shed Skin,,,1,0,0,0.7,9.9,50,20,55,25,25,30,205,120,15,3840,Bug,,72,0,0,2,0,0,0,2
12,1,121,Butterfree,Bug,Flying,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395,45,15,3840,Bug,,198,0,0,0,2,1,0,3
13,1,131,Weedle,Bug,Poison,Brown,Shield Dust,,Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195,255,15,3840,Bug,,39,0,0,0,0,0,1,1
14,1,141,Kakuna,Bug,Poison,Yellow,Shed Skin,,,1,0,0,0.6,10,45,25,50,25,25,35,205,120,15,3840,Bug,,72,0,0,2,0,0,0,2
15,1,151,Beedrill,Bug,Poison,Yellow,Swarm,,Sniper,1,0,0,1,29.5,65,90,40,45,80,75,395,45,15,3840,Bug,,198,0,2,0,0,1,0,3
15,2,152,Mega Beedrill,Bug,Poison,Yellow,Adaptability,,,1,0,1,1.4,40.5,65,150,40,15,80,145,495,45,15,3840,Bug,,248,0,2,0,0,1,0,3
16,1,161,Pidgey,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251,255,15,3840,Flying,,50,0,0,0,0,0,1,1
17,1,171,Pidgeotto,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30,63,60,55,50,50,71,349,120,15,3840,Flying,,122,0,0,0,0,0,2,2
18,1,181,Pidgeot,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479,45,15,3840,Flying,,240,0,0,0,0,0,3,3
18,2,182,Mega Pidgeot,Normal,Flying,Brown,No Guard,,,1,0,1,2.2,50.5,83,80,80,135,80,121,579,45,15,3840,Flying,,290,0,0,0,0,0,3,3
19,1,191,Rattata,Normal,,Purple,Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253,255,15,3840,Field,,51,0,0,0,0,0,1,1
19,2,192,Rattata,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253,255,15,3840,Field,,51,0,0,0,0,0,1,1
20,1,201,Raticate,Normal,,Brown,Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413,127,15,3840,Field,,145,0,0,0,0,0,2,2
20,2,202,Raticate,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413,127,15,3840,Field,,145,0,0,0,0,0,2,2
21,1,211,Spearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,0.3,2,40,60,30,31,31,70,262,255,15,3840,Flying,,52,0,0,0,0,0,1,1
22,1,221,Fearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,1.2,38,65,90,65,61,61,100,442,90,15,3840,Flying,,155,0,0,0,0,0,2,2
23,1,231,Ekans,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,2,6.9,35,60,44,40,54,55,288,255,20,5120,Field,Dragon,58,0,1,0,0,0,0,1
24,1,241,Arbok,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65,60,95,69,65,79,80,448,90,20,5120,Field,Dragon,157,0,2,0,0,0,0,2
25,1,251,Pikachu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.4,6,35,55,40,50,50,90,320,190,10,2560,Field,Fairy,112,0,0,0,0,0,2,2
26,1,261,Raichu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.8,30,60,90,55,90,80,110,485,75,10,2560,Field,Fairy,243,0,0,0,0,0,3,3
26,2,262,Raichu,Electric,Psychic,Brown,Surge Surfer,,,7,0,0,0.7,21,60,85,50,95,85,110,485,75,10,2560,Field,Fairy,243,0,0,0,0,0,3,3
27,1,271,Sandshrew,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,0.6,12,50,75,85,20,30,40,300,255,20,5120,Field,,60,0,0,1,0,0,0,1
27,2,272,Sandshrew,Ice,Steel,White,Snow Cloak,,Slush Rush,7,0,0,0.7,40,50,75,90,10,35,40,300,255,20,5120,Field,,60,0,0,1,0,0,0,1
28,1,281,Sandslash,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,1,29.5,75,100,110,45,55,65,450,90,20,5120,Field,,158,0,0,2,0,0,0,2
28,2,282,Sandslash,Ice,Steel,Blue,Snow Cloak,,Slush Rush,7,0,0,1.2,55,75,100,120,25,65,65,450,90,20,5120,Field,,158,0,0,2,0,0,0,2
29,1,291,Nidoran F,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.4,7,55,47,52,40,40,41,275,235,20,5120,Monster,Field,55,1,0,0,0,0,0,1
30,1,301,Nidorina,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.8,20,70,62,67,55,55,56,365,120,20,5120,Undiscovered,,128,2,0,0,0,0,0,2
31,1,311,Nidoqueen,Poison,Ground,Blue,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60,90,92,87,75,85,76,505,45,20,5120,Undiscovered,,253,3,0,0,0,0,0,3
32,1,321,Nidoran M,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.5,9,46,57,40,40,40,50,273,235,20,5120,Monster,Field,55,0,1,0,0,0,0,1
33,1,331,Nidorino,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365,120,20,5120,Monster,Field,128,0,2,0,0,0,0,2
34,1,341,Nidoking,Poison,Ground,Purple,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62,81,102,77,85,75,85,505,45,20,5120,Monster,Field,253,0,3,0,0,0,0,3
35,1,351,Clefairy,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323,150,10,2560,Fairy,,113,2,0,0,0,0,0,2
36,1,361,Clefable,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40,95,70,73,95,90,60,483,25,10,2560,Fairy,,242,3,0,0,0,0,0,3
37,1,371,Vulpix,Fire,,Brown,Flash Fire,,Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299,190,20,5120,Field,,60,0,0,0,0,0,1,1
37,2,372,Vulpix,Ice,,White,Snow Cloak,,Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299,190,20,5120,Field,,60,0,0,0,0,0,1,1
38,1,381,Ninetales,Fire,,Yellow,Flash Fire,,Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505,75,20,5120,Field,,177,0,0,0,0,1,1,2
38,2,382,Ninetales,Ice,Fairy,Blue,Snow Cloak,,Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505,75,20,5120,Field,,177,0,0,0,0,0,2,2
39,1,391,Jigglypuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270,170,10,2560,Fairy,,95,2,0,0,0,0,0,2
40,1,401,Wigglytuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,1,12,140,70,45,85,50,45,435,50,10,2560,Fairy,,218,3,0,0,0,0,0,3
41,1,411,Zubat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245,255,15,3840,Flying,,49,0,0,0,0,0,1,1
42,1,421,Golbat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,1.6,55,75,80,70,65,75,90,455,90,15,3840,Flying,,159,0,0,0,0,0,2,2
43,1,431,Oddish,Grass,Poison,Blue,Chlorophyll,,Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320,255,20,5120,Grass,,64,0,0,0,1,0,0,1
44,1,441,Gloom,Grass,Poison,Blue,Chlorophyll,,Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395,120,20,5120,Grass,,138,0,0,0,2,0,0,2
45,1,451,Vileplume,Grass,Poison,Red,Chlorophyll,,Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490,45,20,5120,Grass,,245,0,0,0,3,0,0,3
46,1,461,Paras,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285,190,20,5120,Bug,Grass,57,0,1,0,0,0,0,1
47,1,471,Parasect,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,1,29.5,60,95,80,60,80,30,405,75,20,5120,Bug,Grass,142,0,2,1,0,0,0,3
48,1,481,Venonat,Bug,Poison,Purple,Compound Eyes,Tinted Lens,Run Away,1,0,0,1,30,60,55,50,40,55,45,305,190,20,5120,Bug,,61,0,0,0,0,1,0,1
49,1,491,Venomoth,Bug,Poison,Purple,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450,75,20,5120,Bug,,158,0,0,0,1,0,1,2
50,1,501,Diglett,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265,255,20,5120,Field,,53,0,0,0,0,0,1,1
50,2,502,Diglett,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1,10,55,30,35,45,90,265,255,20,5120,Field,,53,0,0,0,0,0,1,1
51,1,511,Dugtrio,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425,50,20,5120,Field,,149,0,0,0,0,0,2,2
51,2,512,Dugtrio,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425,50,20,5120,Field,,149,0,2,0,0,0,0,2
52,1,521,Meowth,Normal,,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290,255,20,5120,Field,,58,0,0,0,0,0,1,1
52,2,522,Meowth,Dark,,Blue,Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290,255,20,5120,Field,,58,0,0,0,0,0,1,1
52,3,523,Meowth,Steel,,Brown,Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290,255,20,5120,Field,,58,0,1,0,0,0,0,1
53,1,531,Persian,Normal,,Yellow,Limber,Technician,Unnerve,1,0,0,1,32,65,70,60,65,65,115,440,90,20,5120,Field,,154,0,0,0,0,0,2,2
53,2,532,Persian,Dark,,Blue,Fur Coat,Technician,Rattled,7,0,0,1.1,33,65,60,60,75,65,115,440,90,20,5120,Field,,154,0,0,0,0,0,2,2
54,1,541,Psyduck,Water,,Yellow,Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320,190,20,5120,Water1,Field,64,0,0,0,1,0,0,1
55,1,551,Golduck,Water,,Blue,Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500,75,20,5120,Water1,Field,175,0,0,0,2,0,0,2
56,1,561,Mankey,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,0.5,28,40,80,35,35,45,70,305,190,20,5120,Field,,61,0,1,0,0,0,0,1
57,1,571,Primeape,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,1,32,65,105,60,60,70,95,455,75,20,5120,Field,,159,0,2,0,0,0,0,2
58,1,581,Growlithe,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,0.7,19,55,70,45,70,50,60,350,190,20,5120,Field,,70,0,1,0,0,0,0,1
59,1,591,Arcanine,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,1.9,155,90,110,80,100,80,95,555,75,20,5120,Field,,194,0,2,0,0,0,0,2
60,1,601,Poliwag,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300,255,20,5120,Water1,,60,0,0,0,0,0,1,1
61,1,611,Poliwhirl,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1,20,65,65,65,50,50,90,385,120,20,5120,Water1,,135,0,0,0,0,0,2,2
62,1,621,Poliwrath,Water,Fighting,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54,90,95,95,70,90,70,510,45,20,5120,Water1,,255,0,0,3,0,0,0,3
63,1,631,Abra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310,200,20,5120,Human-Like,,62,0,0,0,1,0,0,1
64,1,641,Kadabra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400,100,20,5120,Human-Like,,140,0,0,0,2,0,0,2
65,1,651,Alakazam,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48,55,50,45,135,95,120,500,50,20,5120,Human-Like,,250,0,0,0,3,0,0,3
65,2,652,Mega Alakazam,Psychic,,Brown,Trace,,,1,0,1,1.2,48,55,50,65,175,95,150,590,50,20,5120,Human-Like,,300,0,0,0,3,0,0,3
66,1,661,Machop,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305,180,20,5120,Human-Like,,61,0,1,0,0,0,0,1
67,1,671,Machoke,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405,90,20,5120,Human-Like,,142,0,2,0,0,0,0,2
68,1,681,Machamp,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.6,130,90,130,80,65,85,55,505,45,20,5120,Human-Like,,253,0,3,0,0,0,0,3
69,1,691,Bellsprout,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,0.7,4,50,75,35,70,30,40,300,255,20,5120,Grass,,60,0,1,0,0,0,0,1
70,1,701,Weepinbell,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1,6.4,65,90,50,85,45,55,390,120,20,5120,Grass,,137,0,2,0,0,0,0,2
71,1,711,Victreebel,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490,45,20,5120,Grass,,245,0,3,0,0,0,0,3
72,1,721,Tentacool,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335,190,20,5120,Water3,,67,0,0,0,0,1,0,1
73,1,731,Tentacruel,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55,80,70,65,80,120,100,515,60,20,5120,Water3,,180,0,0,0,0,2,0,2
74,1,741,Geodude,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20,40,80,100,30,30,20,300,255,15,3840,Mineral,,60,0,0,1,0,0,0,1
74,2,742,Geodude,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300,255,15,3840,Mineral,,60,0,0,1,0,0,0,1
75,1,751,Graveler,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1,105,55,95,115,45,45,35,390,120,15,3840,Mineral,,137,0,0,2,0,0,0,2
75,2,752,Graveler,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1,110,55,95,115,45,45,35,390,120,15,3840,Mineral,,137,0,0,2,0,0,0,2
76,1,761,Golem,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300,80,120,130,55,65,45,495,45,15,3840,Mineral,,248,0,0,3,0,0,0,3
76,2,762,Golem,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316,80,120,130,55,65,45,495,45,15,3840,Mineral,,248,0,0,3,0,0,0,3
77,1,771,Ponyta,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1,30,50,85,55,65,65,90,410,190,20,5120,Field,,82,0,0,0,0,0,1,1
77,2,772,Ponyta,Psychic,,White,Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24,50,85,55,65,65,90,410,190,20,5120,Field,,82,0,0,0,0,0,1,1
78,1,781,Rapidash,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.7,95,65,100,70,80,80,105,500,60,20,5120,Field,,175,0,0,0,0,0,2,2
78,2,782,Rapidash,Psychic,Fairy,White,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80,65,100,70,80,80,105,500,60,20,5120,Field,,175,0,0,0,0,0,2,2
79,1,791,Slowpoke,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36,90,65,65,40,40,15,315,190,20,5120,Monster,Water1,63,1,0,0,0,0,0,1
79,2,792,Slowpoke,Psychic,,Pink,Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36,90,65,65,40,40,15,315,190,20,5120,Monster,Water1,63,1,0,0,0,0,0,1
80,1,801,Slowbro,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490,75,20,5120,Monster,Water1,172,0,0,2,0,0,0,2
80,2,802,Slowbro,Poison,Psychic,Pink,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490,75,20,5120,Monster,Water1,207,0,0,2,0,0,0,2
80,3,803,Mega Slowbro,Water,Psychic,Pink,Shell Armor,,,1,0,1,2,120,95,75,180,130,80,30,590,75,20,5120,Monster,Water1,172,0,2,0,0,0,0,2
81,1,811,Magnemite,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6,25,35,70,95,55,45,325,190,20,5120,Mineral,,65,0,0,0,1,0,0,1
82,1,821,Magneton,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,1,60,50,60,95,120,70,70,465,60,20,5120,Mineral,,163,0,0,0,2,0,0,2
83,1,831,Farfetch'd,Normal,Flying,Brown,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15,52,90,55,58,62,60,377,45,20,5120,Flying,Field,132,0,1,0,0,0,0,1
83,2,832,Farfetch'd,Fighting,,Brown,Steadfast,,Scrappy,8,0,0,0.8,42,52,95,55,58,62,55,377,45,20,5120,Flying,Field,132,0,1,0,0,0,0,1
84,1,841,Doduo,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310,190,20,5120,Flying,,62,0,1,0,0,0,0,1
85,1,851,Dodrio,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470,45,20,5120,Flying,,165,0,2,0,0,0,0,2
86,1,861,Seel,Water,,White,Thick Fat,Hydration,Ice Body,1,0,0,1.1,90,65,45,55,45,70,45,325,190,20,5120,Water1,Field,65,0,0,0,0,1,0,1
87,1,871,Dewgong,Water,Ice,White,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120,90,70,80,70,95,70,475,75,20,5120,Water1,Field,166,0,0,0,0,2,0,2
88,1,881,Grimer,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30,80,80,50,40,50,25,325,190,20,5120,Amorphous,,65,1,0,0,0,0,0,1
88,2,882,Grimer,Poison,Dark,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,0.7,42,80,80,50,40,50,25,325,190,20,5120,Amorphous,,65,1,0,0,0,0,0,1
89,1,891,Muk,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,1.2,30,105,105,75,65,100,50,500,75,20,5120,Amorphous,,175,1,1,0,0,0,0,2
89,2,892,Muk,Poison,Dark,Green,Poison Touch,Gluttony,Power of Alchemy,7,0,0,1,52,105,105,75,65,100,50,500,75,20,5120,Amorphous,,175,1,1,0,0,0,0,2
90,1,901,Shellder,Water,,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,0.3,4,30,65,100,45,25,40,305,190,20,5120,Water3,,61,0,0,1,0,0,0,1
91,1,911,Cloyster,Water,Ice,Purple,Shell Armor,Skill Link,Overcoat,1,0,0,1.5,132.5,50,95,180,85,45,70,525,60,20,5120,Water3,,184,0,0,2,0,0,0,2
92,1,921,Gastly,Ghost,Poison,Purple,Levitate,,,1,0,0,1.3,0.1,30,35,30,100,35,80,310,190,20,5120,Amorphous,,62,0,0,0,1,0,0,1
93,1,931,Haunter,Ghost,Poison,Purple,Levitate,,,1,0,0,1.6,0.1,45,50,45,115,55,95,405,90,20,5120,Amorphous,,142,0,0,0,2,0,0,2
94,1,941,Gengar,Ghost,Poison,Purple,Cursed Body,,,1,0,0,1.5,40.5,60,65,60,130,75,110,500,45,20,5120,Amorphous,,250,0,0,0,3,0,0,3
94,2,942,Mega Gengar,Ghost,Poison,Purple,Shadow Tag,,,1,0,1,1.4,40.5,60,65,80,170,95,130,600,45,20,5120,Amorphous,,300,0,0,0,3,0,0,3
95,1,951,Onix,Rock,Ground,Grey,Rock Head,Sturdy,Weak Armor,1,0,0,8.8,210,35,45,160,30,45,70,385,45,25,6400,Mineral,,77,0,0,1,0,0,0,1
96,1,961,Drowzee,Psychic,,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1,32.4,60,48,45,43,90,42,328,190,20,5120,Human-Like,,66,0,0,0,0,1,0,1
97,1,971,Hypno,Psychic,,Yellow,Insomnia,Forewarn,Inner Focus,1,0,0,1.6,75.6,85,73,70,73,115,67,483,75,20,5120,Human-Like,,169,0,0,0,0,2,0,2
98,1,981,Krabby,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,0.4,6.5,30,105,90,25,25,50,325,225,20,5120,Water3,,65,0,1,0,0,0,0,1
99,1,991,Kingler,Water,,Red,Hyper Cutter,Shell Armor,Sheer Force,1,0,0,1.3,60,55,130,115,50,50,75,475,60,20,5120,Water3,,166,0,2,0,0,0,0,2
100,1,1001,Voltorb,Electric,,Red,Soundproof,Static,Aftermath,1,0,0,0.5,10.4,40,30,50,55,55,100,330,190,20,5120,Mineral,,66,0,0,0,0,0,1,1
101,1,1011,Electrode,Electric,,Red,Soundproof,Static,Aftermath,1,0,0,1.2,66.6,60,50,70,80,80,150,490,60,20,5120,Mineral,,172,0,0,0,0,0,2,2
102,1,1021,Exeggcute,Grass,Psychic,Pink,Chlorophyll,,Harvest,1,0,0,0.4,2.5,60,40,80,60,45,40,325,90,20,5120,Grass,,65,0,0,1,0,0,0,1
103,1,1031,Exeggutor,Grass,Psychic,Yellow,Chlorophyll,,Harvest,1,0,0,2,120,95,95,85,125,75,55,530,45,20,5120,Grass,,186,0,0,0,2,0,0,2
103,2,1032,Exeggutor,Grass,Dragon,Yellow,Frisk,,Harvest,7,0,0,10.9,415.6,95,105,85,125,75,45,530,45,20,5120,Grass,,186,0,0,0,2,0,0,2
104,1,1041,Cubone,Ground,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,0.4,6.5,50,50,95,40,50,35,320,190,20,5120,Monster,,64,0,0,1,0,0,0,1
105,1,1051,Marowak,Ground,,Brown,Rock Head,Lightning Rod,Battle Armor,1,0,0,1,45,60,80,110,50,80,45,425,75,20,5120,Monster,,149,0,0,2,0,0,0,2
105,2,1052,Marowak,Fire,Ghost,Purple,Cursed Body,Lightning Rod,Rock Head,7,0,0,1,34,60,80,110,50,80,45,425,75,20,5120,Monster,,149,0,0,2,0,0,0,2
106,1,1061,Hitmonlee,Fighting,,Brown,Limber,Reckless,Unburden,1,0,0,1.5,49.8,50,120,53,35,110,87,455,45,25,6400,Human-Like,,159,0,2,0,0,0,0,2
107,1,1071,Hitmonchan,Fighting,,Brown,Keen Eye,Iron Fist,Inner Focus,1,0,0,1.4,50.2,50,105,79,35,110,76,455,45,25,6400,Human-Like,,159,0,0,0,0,2,0,2
108,1,1081,Lickitung,Normal,,Pink,Own Tempo,Oblivious,Cloud Nine,1,0,0,1.2,65.5,90,55,75,60,75,30,385,45,20,5120,Monster,,77,2,0,0,0,0,0,2
